id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2384,Hyde Park - Walk to University of Chicago,2613,Rebecca,,Hyde Park,41.7879,-87.5878,Private room,85,3,192,2021-11-07,2.19,1,348,11,R17000015609
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90166,-87.68021,Entire home/apt,66,2,434,2022-02-20,2.81,1,318,44,R21000075737
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91196,-87.63981,Entire home/apt,140,4,41,2022-03-12,0.43,8,65,20,2120297
12140,Lincoln Park Guest House,46734,Sharon And Robert,,Lincoln Park,41.92357,-87.64947,Private room,329,2,7,2021-07-06,0.09,1,171,2,R20000055258
24833,Prime LincolnPark 1 Block Fullerton Express L Deck,101521,Red,,Lincoln Park,41.925961,-87.656364,Entire home/apt,42,32,38,2021-09-10,0.26,4,240,1,City registration pending
25879,2/1 One  Block to Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,41.92499,-87.65573,Entire home/apt,95,32,48,2021-09-23,0.34,4,240,1,City registration pending
37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.97303,-87.66567,Private room,110,3,250,2020-03-15,1.76,2,0,0,R20000059426
67940,Lovely 1BR Private Condo Steps From McCormick Pl!,183546418,Molly,,Near South Side,41.84576,-87.61871,Entire home/apt,89,2,62,2022-02-26,0.47,1,219,46,City registration pending
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,63,2,83,2022-03-14,0.63,2,348,13,R17000013986
84042,The Explorer Room,334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,66,2,96,2022-03-06,0.72,2,310,16,R17000013986
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,,North Center,41.94342,-87.68121,Entire home/apt,230,2,44,2021-11-07,0.56,23,350,8,2209272
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,,Lincoln Park,41.91289,-87.63864,Entire home/apt,269,2,77,2022-02-27,0.93,23,275,21,2083778
166667,Cozy Garden Studio,791089,Conrad,,Lake View,41.94217,-87.67182,Entire home/apt,125,3,88,2019-10-19,0.68,1,355,0,R17000015786
189821,"Best in Chicago, private, amazing garden space",899757,Meighan,,Logan Square,41.92918,-87.70219,Entire home/apt,229,3,573,2022-03-01,4.48,1,198,50,R21000062936
207218,Historic Pullman Artist Flat - Artists & Explorers,1019125,Jb,,Pullman,41.68843,-87.60712,Entire home/apt,100,2,279,2022-02-27,2.18,2,322,9,R21000073121
207351,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,,Pullman,41.68954,-87.60786,Entire home/apt,50,32,44,2022-01-30,0.34,2,107,4,R21000073121
225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,,Logan Square,41.92589,-87.69737,Private room,79,2,20,2019-10-14,0.17,1,330,0,R20000054219
250354,Close to Michigan Ave and parks,1311953,Ronald,,Near South Side,41.85923,-87.62198,Entire home/apt,170,180,39,2018-04-25,0.31,1,358,0,City registration pending
258253,Studio Apartment Unit 4,1358243,June,,West Ridge,42.0076,-87.6825,Entire home/apt,48,33,26,2022-03-11,0.21,2,232,4,398144   Chicago:   R190000050938
261509,You'll love Chicago! Guaranteed!,858008,Kassie,,Near North Side,41.90212,-87.63557,Entire home/apt,119,32,65,2021-10-02,0.53,1,328,3,City registration pending
264547,Steps From the Best Chicago Offers,1387948,Dominic,,Near West Side,41.88413,-87.64315,Entire home/apt,204,32,67,2021-10-17,0.56,1,352,2,City registration pending
289689,"30 Day+ Med student, interns & interim stays.",1376077,Killian,,Edgewater,41.97806,-87.65676,Private room,29,30,64,2021-10-31,0.52,1,221,2,R21000062931
289884,"Rad Home with Mid-Century Vibe, Parking & Laundry",1500490,Hailey,,Logan Square,41.92063,-87.68353,Entire home/apt,175,1,85,2022-02-21,0.72,1,355,4,R21000075554
290155,15 Minutes to Everything.  Skyline View. Quiet.,1505878,Bob,,Bridgeport,41.82712,-87.64046,Entire home/apt,130,3,50,2020-03-17,0.40,2,0,0,2074659
312192,Winter Specials. You'll love this apartment.,1505878,Bob,,Bridgeport,41.82741,-87.63934,Entire home/apt,146,4,39,2020-03-15,0.44,2,0,0,2074660
350347,"Urban Chicago Loft, 1 blk to train w/ 2 pkg spots",845242,Mi Casa Su Casa Vacations,,Lake View,41.94107,-87.65492,Entire home/apt,174,3,612,2022-03-10,5.01,1,72,71,R21000062667
372929,Lux Urban 3BR/3BA Duplex + Parking!,1876597,The Adventurers,,West Town,41.89629,-87.65704,Entire home/apt,239,2,241,2022-03-06,2.12,2,298,23,2510875
404792,Eclectic West Town 2BR w/ Vintage Charm,1844352,Christine,,West Town,41.88947,-87.66933,Entire home/apt,126,5,196,2021-10-12,1.66,1,119,6,R18000024694
450648,Luxury Space - Come & Relax,2204693,Dl,,Loop,41.86765,-87.62271,Private room,119,3,38,2018-06-21,0.32,1,0,0,City registration pending
464581,"Large, Private Logan Square Studio",2308792,Jonathan,,Logan Square,41.92518,-87.69549,Entire home/apt,48,2,644,2021-06-13,5.51,1,0,1,R17000017731
484898,Charming 1906 cottage Northside,2400107,Allison,,Uptown,41.96978,-87.67389,Entire home/apt,232,7,14,2018-06-11,0.12,1,328,0,R17000013890
507517,Private Lincoln Square Garden Apt,2501182,Nate,,Lincoln Square,41.96678,-87.6973,Entire home/apt,101,2,337,2022-03-13,2.86,1,139,46,R17000017576
542067,Logan Square Modern Vintage Garden,2273840,Sarah,,Logan Square,41.93142,-87.69989,Entire home/apt,157,3,271,2021-12-29,2.29,1,201,11,R17000015045
548905,Home Away From Home,2698691,LeeO'[Nardo],,Grand Boulevard,41.82295,-87.6156,Entire home/apt,89,2,242,2021-11-27,2.09,2,334,15,City registration pending
584590,"Spacious Bedroom, steps to El train",2880338,Elizabeth,,Lincoln Square,41.96528,-87.6831,Private room,90,32,52,2021-11-15,0.44,2,155,8,R17000015627
585353,Great neighborhood! Price Drop *,2885441,Tracy,,West Town,41.88986,-87.66039,Private room,76,32,135,2022-03-03,1.15,5,364,8,R20000053637
585356,"Price Drop! Great Deal, Great area!",2885441,Tracy,,West Town,41.89001,-87.66069,Private room,87,1,143,2020-03-08,1.22,5,340,0,R20000053637
628149,Great for Students! Affordability+Location,2885441,Tracy,,West Town,41.89134,-87.66254,Private room,59,1,99,2021-10-16,0.85,5,302,3,R20000053637
634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,,Edgewater,41.99688,-87.66449,Private room,70,2,88,2022-03-14,0.76,2,361,5,R18000034164
640841,Designer Lakeview Haven. Private Rooftop Oasis!,3200044,James,,Lake View,41.94256,-87.67171,Entire home/apt,233,7,58,2021-12-27,1.26,1,52,1,R21000061279
651742,Edgebrook Lg bdr by golf course,2824576,Jeff,,Forest Glen,41.99178,-87.75747,Private room,65,3,76,2021-12-17,0.69,2,342,9,R21000075759
662034,Edgebrook bdr by golf course,2824576,Jeff,,Forest Glen,41.99405,-87.75746,Private room,60,3,73,2021-10-11,0.70,2,355,7,City registration pending
668262,Room in East Lakeview apartment,3382417,Heather,,Lake View,41.9331,-87.64919,Private room,68,30,26,2021-07-31,0.32,4,31,1,R18000023663
697634,"2 BD Condo by downtown,park,lake",3574415,Marv,,Near North Side,41.90437,-87.6335,Entire home/apt,87,32,154,2021-09-30,1.45,2,249,4,City registration pending
718224,Cozy Ranch House Chicago-Evanston,3703862,Femi,,West Ridge,42.02022,-87.69349,Entire home/apt,150,2,166,2020-03-15,1.45,1,75,0,
724895,Close to Chicago music Fest! (Students discount),2885441,Tracy,,West Town,41.88999,-87.66227,Private room,62,2,135,2021-11-19,1.18,5,331,4,R20000053637
726376,"Spacious Studio, Amazing Location!",2658212,James,,Lake View,41.93903,-87.65196,Entire home/apt,90,2,682,2022-03-07,5.96,4,71,56,Pending
727847,Palmer Treehouse - Bedroom 2,62150,Anne,,Logan Square,41.92278,-87.70422,Private room,70,2,74,2021-10-24,0.65,3,362,1,City registration pending
739495,Lovely 2 bedroom in Lincoln Square,3867687,Janet,,Lincoln Square,41.9765,-87.68144,Entire home/apt,132,7,193,2022-01-09,1.83,1,169,7,R17000020094
753809,LUXURY LOOP w/Balcony GYM & SPA by Millennium Park,3965428,Rob,,Loop,41.88604,-87.61568,Entire home/apt,130,32,13,2015-08-15,0.12,88,365,0,City registration pending
755701,3 Bedroom Victorian Beauty at Logan Square,3920450,Vas,,Logan Square,41.93115,-87.71836,Entire home/apt,75,32,24,2021-10-31,0.22,4,174,3,City registration pending
773127,Comfy Room & Bike in Roscoe Village,4009750,Matt,,North Center,41.94802,-87.68335,Private room,78,2,128,2017-06-04,1.12,2,0,0,City registration pending
780063,Room 02: Home away from home!,4113527,Candy,,Austin,41.90518,-87.79654,Private room,45,2,78,2021-11-04,0.74,2,228,5,
790934,04. Pullout sofa bed in common room,2907254,Joe,,West Ridge,42.01653,-87.68788,Shared room,96,1,139,2020-02-03,1.23,19,180,0,R21000075752
805890,Room 03: Home away from home!,4113527,Candy,,Austin,41.90537,-87.79637,Private room,60,2,24,2021-10-18,0.23,2,306,5,
841024,Lux 2bd 2bt Lakeview-Wrigleyville,1254363,Mark,,Lake View,41.94382,-87.64656,Entire home/apt,239,32,15,2017-03-19,0.14,3,365,0,
863120,Cozy Private Room in a unique Chicago Penthouse,4525503,Nejla Yatkin And Enki,,Lincoln Park,41.92218,-87.66079,Private room,85,2,107,2022-03-13,1.02,1,130,9,R21000072699
887038,MCM Prime LincolnPark 2 Bed 1 Block to Fullerton L,101521,Red,,Lincoln Park,41.92546,-87.6573,Entire home/apt,76,32,38,2021-09-26,0.35,4,264,2,City registration pending
887357,"Prime Lincoln Park 2/2 - 2 Decks, Garage, Dogs OK",101521,Red,,Lincoln Park,41.93153,-87.65797,Entire home/apt,184,32,0,,,4,96,0,
903996,Private Entrance/Steam Room Ensuite,4019426,Colleen,,Logan Square,41.92708,-87.71212,Private room,110,2,145,2020-03-19,1.36,1,3,0,R17000015433
929914,Charming apartment in Old Town,5007980,Lynn,,Lincoln Park,41.91215,-87.64006,Entire home/apt,125,1,372,2022-03-07,3.41,1,129,54,R21000073898
931105,Modern Guest Bedroom Room in Designers House,5015135,Samantha,,East Garfield Park,41.88538,-87.69801,Private room,101,3,23,2018-11-02,0.21,1,362,0,R17000015264
949514,Modern Loft-Style Pad in Wicker!,5148353,Steven,,West Town,41.9055,-87.66685,Private room,50,3,133,2020-03-02,1.20,1,0,0,R17000017886
960326,Stay in a Designer Penthouse with Art Gallery,5228189,Matthew,,West Town,41.89602,-87.65659,Entire home/apt,206,1,337,2022-03-01,3.15,17,342,35,2457501
966137,"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",5016495,Erika,,Near West Side,41.86801,-87.67877,Entire home/apt,157,7,40,2018-06-05,0.36,1,80,0,city registration pending
979841,"Huge Victorian near Loyola, Lake #1",5076708,Lois And Eduardo,,Rogers Park,42.00588,-87.66853,Private room,89,2,236,2022-03-13,2.17,4,331,29,R17000015436
979926,"Huge Victorian near Loyola, Lake #2",5076708,Lois And Eduardo,,Rogers Park,42.00477,-87.66842,Private room,79,2,269,2022-02-22,2.49,4,326,29,R17000015436
979942,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,,Rogers Park,42.00378,-87.66807,Private room,79,2,257,2022-03-14,2.36,4,336,24,R17000015436
983640,Huge Victorian near Loyola 2bd Apt,5076708,Lois And Eduardo,,Rogers Park,42.00456,-87.67058,Entire home/apt,179,2,203,2022-02-28,1.90,4,287,27,R17000015436
1020810,Beautiful Condo in Chicago,3843347,Andrea,,Near North Side,41.89395,-87.62593,Entire home/apt,85,32,33,2022-01-09,0.30,3,245,3,City registration pending
1027405,Chicago Women's Residence/ Paris Rm,5654677,Urban Art,,North Lawndale,41.85428,-87.70852,Private room,45,2,6,2016-07-31,0.07,4,0,0,R18000034125
1027463,Chicago Women's Residence Florence Comfy Rm,5654677,Urban Art,,North Lawndale,41.8544,-87.70852,Private room,45,32,11,2021-09-05,0.14,4,89,1,City registration pending
